Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Old Gringo,"Adventure, History, Romance","2609       Gregory Peck
16678        Jane Fonda
58330       Jimmy Smits
158296    Paul Williams
Name: Actor, dtype: object",['Luis Puenzo'],"Carlos Fuentes (novel), Aída Bortnik (screenplay), Luis Puenzo (screenplay)","English, Spanish","3,574,256",USA,06 Oct 1989,119 min,5.8,1 nomination.,tt0098022.jpg
Fat Man and Little Boy,"Biography, Drama, History","2370             Paul Newman
5369             John Cusack
15437             Laura Dern
32140         Bonnie Bedelia
50490       John C. McGinley
55505     Natasha Richardson
59852            Kevin Tighe
88767            Clark Gregg
99453             Todd Field
117774             Ed Lauter
143960        Dwight Schultz
Name: Actor, dtype: object",['Roland Joffé'],"Bruce Robinson (story), Bruce Robinson (screenplay), Roland Joffé (screenplay)",English,"3,563,162",USA,20 Oct 1989,127 min,6.5,2 nominations.,tt0097336.jpg
Physical Evidence,"Crime, Mystery, Romance","25040       Burt Reynolds
25896     Theresa Russell
32060          Ned Beatty
48574            Kay Lenz
109522      Laurie Holden
125172       Ted McGinley
156640      Kenneth Welsh
Name: Actor, dtype: object",['Michael Crichton'],"Steve Ransohoff (story), Bill Phillips (story), Bill Phillips (screenplay)",English,"3,560,932",USA,27 Jan 1989,99 min,5.0,,tt0098093.jpg
In Country,"Drama, Romance, War","10768            Bruce Willis
11084              Joan Allen
29605          Kevin Anderson
73894     Patricia Richardson
81202              Jim Beaver
111552            Judith Ivey
112190            Ken Jenkins
149723         Heidi Swedberg
151725     Stephen Tobolowsky
Name: Actor, dtype: object",['Norman Jewison'],"Bobbie Ann Mason (novel), Frank Pierson (screenplay), Cynthia Cidre (screenplay)",English,"3,531,971",USA,29 Sep 1989,120 min,5.9,,tt0097570.jpg
Kinjite: Forbidden Subjects,"Action, Crime, Drama","13039     Charles Bronson
40256       Nicole Eggert
60145         Danny Trejo
71461        Peggy Lipton
125591      Bill McKinney
Name: Actor, dtype: object",['J. Lee Thompson'],Harold Nebenzal,English,"3,416,846",USA,03 Feb 1989,97 min,5.3,,tt0097670.jpg
Rude Awakening,Comedy,"25603         Eric Roberts
35918     Robert Carradine
49778         Cheech Marin
58045         Tom Sizemore
61087       Melora Walters
97272      David Eigenberg
105895       Julie Hagerty
110834       Michelle Hurd
117546       Louise Lasser
123502       Andrea Martin
157969      Cindy Williams
Name: Actor, dtype: object","['David Greenwalt', 'Aaron Russo']","Neil Levy (story), Neil Levy (screenplay), Richard LaGravenese (screenplay)",English,"3,169,719",USA,16 Aug 1989,100 min,4.4,,tt0098230.jpg
Gleaming the Cube,"Action, Drama, Mystery","9755      Christian Slater
31820         Steven Bauer
53041          Max Perlich
117773           Ed Lauter
Name: Actor, dtype: object",['Graeme Clifford'],Michael Tolkin,English,"2,777,280",USA,13 Jan 1989,100 min,6.1,,tt0097438.jpg
Farewell to the King,"Action, Adventure, Drama","23282     Nick Nolte
100198     James Fox
Name: Actor, dtype: object",['John Milius'],"Pierre Schoendoerffer (book), John Milius (screenplay)",English,"2,420,917",USA,03 Mar 1989,117 min,6.3,,tt0097334.jpg
Sing,Drama,"17493     Cuba Gooding Jr.
33927      Lorraine Bracco
117547       Louise Lasser
148259       Jessica Steen
Name: Actor, dtype: object",['Richard Baskin'],Dean Pitchford,English,"2,260,616",USA,31 Mar 1989,98 min,6.6,1 win.,tt0098335.jpg
Scenes from the Class Struggle in Beverly Hills,Comedy,"12292        Robert Beltran
12572     Jacqueline Bisset
32280         Ed Begley Jr.
57466         Wallace Shawn
132639        Barret Oliver
156421         Frank Welker
Name: Actor, dtype: object",['Paul Bartel'],"Paul Bartel (story), Bruce Wagner (story), Bruce Wagner (screenplay)",English,"2,156,471",USA,01 Jul 1989,95 min,6.2,1 win & 1 nomination.,tt0098261.jpg
Jacknife,Drama,"5507          Robert De Niro
18156              Ed Harris
30824            Kathy Baker
39999      Charles S. Dutton
87439     Gabrielle Carteris
102782       Jessalyn Gilsig
133375             Josh Pais
Name: Actor, dtype: object",['David Hugh Jones'],"Stephen Metcalfe (play), Stephen Metcalfe (screenplay)",English,"2,049,769","USA, Canada",10 Mar 1989,102 min,6.4,,tt0097607.jpg
Rooftops,"Action, Drama","42462      Jason Gedrick
68428        Alexis Cruz
86864     Tisha Campbell
105687       Luis Guzman
117527    Robert LaSardo
151892        Lauren Tom
Name: Actor, dtype: object",['Robert Wise'],"Allan A. Goldstein (story), Tony Mark (story), Terence Brennan (screenplay)",English,"2,043,889",USA,17 Mar 1989,98 min,4.6,1 nomination.,tt0098222.jpg
Winter People,Drama,"22228     Kelly McGillis
25844       Kurt Russell
34245      Lloyd Bridges
142135     Mitchell Ryan
Name: Actor, dtype: object",['Ted Kotcheff'],"John Ehle (book), Carol Sobieski (screenplay)",English,"2,023,282",USA,14 Apr 1989,110 min,6.3,,tt0098659.jpg
Erik the Viking,"Comedy, Adventure, Fantasy","3762          John Cleese
9027          Tim Robbins
34416       Jim Broadbent
46407         Terry Jones
55788       Mickey Rooney
83390       Samantha Bond
87390          Jim Carter
115608        Eartha Kitt
125307      Tim McInnerny
126078    Graham McTavish
149209      Imogen Stubbs
Name: Actor, dtype: object",['Terry Jones'],Terry Jones,"English, Japanese","1,932,642","UK, Sweden",22 Sep 1989,107 min,6.2,,tt0097289.jpg
Communion,"Biography, Drama, Horror","28171     Christopher Walken
37609         Lindsay Crouse
127216    Joshua John Miller
148434    Frances Sternhagen
Name: Actor, dtype: object",['Philippe Mora'],"Whitley Strieber (book), Whitley Strieber (screenplay)",English,"1,919,653","USA, UK",10 Nov 1989,107 min,5.7,1 nomination.,tt0097100.jpg
Breaking In,"Adventure, Comedy","25041          Burt Reynolds
35447        Harry Carey Jr.
63416          Maury Chaykin
75414     Lorraine Toussaint
114366         Sheila Kelley
145735       Casey Siemaszko
151726    Stephen Tobolowsky
Name: Actor, dtype: object",['Bill Forsyth'],John Sayles,English,"1,877,618",USA,13 Oct 1989,94 min,6.1,2 nominations.,tt0096976.jpg
Cookie,"Comedy, Crime","16343            Peter Falk
47773            Ricki Lake
48652           Jerry Lewis
61764          Dianne Wiest
83622     Mark Boone Junior
105598           Bob Gunton
134094        Adrian Pasdar
146198          Tony Sirico
153074       Brenda Vaccaro
Name: Actor, dtype: object",['Susan Seidelman'],"Nora Ephron, Alice Arlen",English,"1,869,417",USA,23 Aug 1989,94 min,5.2,,tt0097109.jpg
Miss Firecracker,Comedy,"['Holly Hunter', 'Mary Steenburgen', 'Tim Robbins', 'Alfre Woodard']",['Thomas Schlamme'],"Beth Henley (play), Beth Henley (screenplay)",English,"1,852,655",USA,19 Jan 1990,102 min,6.1,1 nomination.,tt0097892.jpg
Bloodfist,"Action, Sport","[""Don 'The Dragon' Wilson"", 'Joe Mari Avellana', 'Rob Kaman', 'Billy Blanks']",['Terence H. Winkless'],Robert King (screenplay),English,"1,770,082","USA, Philippines",22 Sep 1989,85 min,4.7,,tt0096952.jpg
The Horror Show,Horror,"18595      Lance Henriksen
46281          Brion James
97288       Aron Eisenberg
135250      Dedee Pfeiffer
151525    Lawrence Tierney
Name: Actor, dtype: object","['James Isaac', 'David Blyth']","Allyn Warner, Leslie Bohem",English,"1,738,897",USA,28 Apr 1989,95 min,4.8,1 nomination.,tt0097527.jpg
Best of the Best,"Action, Drama, Sport","19542     James Earl Jones
19938       Sally Kirkland
25602         Eric Roberts
41250      Louise Fletcher
52881           Chris Penn
109348         Kane Hodder
Name: Actor, dtype: object",['Robert Radler'],"Phillip Rhee (story), Paul Levine (story), Paul Levine, Max Strom (additional dialogue)",English,"1,700,000",USA,10 Nov 1989,97 min,6.4,1 nomination.,tt0096913.jpg
How I Got Into College,"Comedy, Romance","15999            Anthony Edwards
41314           Lara Flynn Boyle
43925          Philip Baker Hall
68848                  Nora Dunn
79095           Curtis Armstrong
79136             Tichina Arnold
87349                Finn Carter
96055         Brian Doyle-Murray
100438            Diane Franklin
107375              Phil Hartman
110041    Richard Steven Horvitz
112265           Richard Jenkins
114332                 Tom Kenny
119462               Phill Lewis
130321             Taylor Negron
140161            Charles Rocket
143757             Dan Schneider
Name: Actor, dtype: object",['Savage Steve Holland'],Terrel Seltzer,English,"1,642,239",USA,19 May 1989,86 min,5.8,,tt0097530.jpg
Mystery Train,"Comedy, Crime, Drama","4690          Steve Buscemi
60866             Tom Waits
76717            Tom Noonan
79748           Rick Aviles
92392    Vondie Curtis-Hall
96231           Sara Driver
Name: Actor, dtype: object",['Jim Jarmusch'],Jim Jarmusch,"English, Japanese, Italian","367,879","USA, Japan",17 Nov 1989,110 min,7.6,1 win & 8 nominations.,tt0097940.jpg
True Love,"Comedy, Romance","56932     Annabella Sciorra
97468            Ron Eldard
134175      Vincent Pastore
152679        Aida Turturro
Name: Actor, dtype: object",['Nancy Savoca'],"Nancy Savoca, Richard Guay","English, Italian","1,400,000",USA,15 Sep 1989,104 min,6.0,4 wins & 4 nominations.,tt0098528.jpg
Romero,"Biography, Crime, Drama","19615         Raul Julia
103771      Harold Gould
113610    Richard Jordan
136008        Tony Plana
Name: Actor, dtype: object",['John Duigan'],John Sacret Young,"English, German","1,316,495",USA,25 Aug 1989,102 min,7.3,2 nominations.,tt0098219.jpg
Babar: The Movie,"Animation, Adventure, Family","53779    Sarah Polley
Name: Actor, dtype: object",['Alan Bunce'],"Jean de Brunhoff (characters), Laurent de Brunhoff (characters), Patrick Loubert (story), Peter Sauder (story), Michael Hirsh (story), Peter Sauder (screenplay), J.D. Smith (screenplay), John de Klein (screenplay), Raymond Jafelice (screenplay), Alan Bunce (screenplay)","English, French","1,305,187","Canada, France",28 Jul 1989,70 min,6.3,3 nominations.,tt0096869.jpg
Queen of Hearts,Comedy,"['Vittorio Duse', 'Joseph Long', 'Anita Zagaria', 'Eileen Way']",['Jon Amiel'],Tony Grisoni,English,"1,236,844","UK, USA",01 Oct 1989,112 min,6.9,3 wins.,tt0098153.jpg
Valmont,"Drama, Romance","4180            Fairuza Balk
6087             Colin Firth
19596          Jeffrey Jones
27694              Meg Tilly
32636         Annette Bening
56712     Vincent Schiavelli
59775           Henry Thomas
125921           Ian McNeice
135439         Sian Phillips
Name: Actor, dtype: object",['Milos Forman'],"Choderlos de Laclos (novel), Jean-Claude Carrière, Milos Forman",English,"1,132,112","France, USA",17 Nov 1989,137 min,7.0,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,tt0098575.jpg
Heart of Dixie,Drama,"4927        Phoebe Cates
21584    Virginia Madsen
26294        Ally Sheedy
32759         Peter Berg
58237     Kurtwood Smith
61921     Treat Williams
79861    Barbara Babcock
Name: Actor, dtype: object",['Martin Davidson'],"Anne Rivers Siddons (novel), Tom McCown (screenplay)",English,"1,097,333",USA,25 Aug 1989,95 min,5.2,1 nomination.,tt0097490.jpg
Wired,"Biography, Comedy, Drama","28232             J.T. Walsh
37922     Patti D'Arbanville
68316        Michael Chiklis
81660        Paul Ben-Victor
84154              Tom Bower
85888             Jere Burns
88693            Blake Clark
140072            Alex Rocco
Name: Actor, dtype: object",['Larry Peerce'],"Bob Woodward (book), Earl Mac Rauch (screenplay)",English,"1,089,000",USA,25 Aug 1989,112 min,4.5,,tt0098660.jpg
Welcome Home,Drama,"46713            Brian Keith
47570     Kris Kristofferson
61217          Sam Waterston
61872        JoBeth Williams
85101    Thomas Wilson Brown
Name: Actor, dtype: object",['Franklin J. Schaffner'],Maggie Kleinman,English,"1,029,822","UK, USA",29 Sep 1989,96 min,5.8,,tt0098631.jpg
Getting It Right,"Comedy, Drama","1047              John Gielgud
12801     Helena Bonham Carter
45216            Jane Horrocks
54900            Lynn Redgrave
127034               Ben Miles
133710            Judy Parfitt
Name: Actor, dtype: object",['Randal Kleiser'],Elizabeth Jane Howard (screenplay),English,"960,385",UK,05 May 1989,102 min,6.5,,tt0097424.jpg
American Ninja 3: Blood Hunt,"Action, Drama","['David Bradley', 'Steve James', 'Marjoe Gortner', 'Michele B. Chan']",['Cedric Sundstrom'],"Avi Kleinberger (characters), Gideon Amir (characters), Gary Conway",English,"902,152","USA, Canada, South Africa",24 Feb 1989,89 min,3.3,,tt0096804.jpg
Parents,"Comedy, Horror, Mystery","54211        Randy Quaid
65523     Mary Beth Hurt
76640       Sandy Dennis
105101     Kathryn Grody
Name: Actor, dtype: object",['Bob Balaban'],Christopher Hawthorne,English,"870,532","Canada, USA",27 Jan 1989,81 min,6.2,1 win & 2 nominations.,tt0098068.jpg
Crack House,"Action, Crime, Drama","34614             Jim Brown
104248         F. Gary Gray
141106    Richard Roundtree
153499         Jacob Vargas
Name: Actor, dtype: object",['Michael Fischa'],"Blake Schaffer, Jack Silverman (story)",English,"862,551",USA,10 Nov 1989,90 min,5.5,,tt0097119.jpg
The Terror Within,"Horror, Sci-Fi","46916    George Kennedy
66108    Andrew Stevens
Name: Actor, dtype: object",['Thierry Notz'],Thomas McKelvey Cleaver,English,"858,591",USA,20 Jan 1989,88 min,4.9,,tt0096246.jpg
Little Monsters,"Comedy, Adventure, Family","25961          Fred Savage
61581         Frank Whaley
71862         Howie Mandel
74199           Ben Savage
96321        Rick Ducommun
137820        Devin Ratray
148402        Daniel Stern
157503    Margaret Whitton
Name: Actor, dtype: object",['Richard Greenberg'],"Terry Rossio, Ted Elliott",English,"793,775",USA,25 Aug 1989,100 min,6.0,2 nominations.,tt0097758.jpg
The Toxic Avenger Part II,"Comedy, Horror, Sci-Fi","78057           Keith Allen
157266    Michael Jai White
Name: Actor, dtype: object","['Michael Herz', 'Lloyd Kaufman']","Lloyd Kaufman (story), Gay Partington Terry (screenplay), Lloyd Kaufman (screenplay), Pericles Lewnes (additional material), Fumio Furuya (additional material), Yoshiko Miyamoto (additional material), Andrew Wolk (additional material), Phil Rivo (additional material)","English, Japanese, Russian","792,966",USA,24 Feb 1989,102 min,5.1,1 nomination.,tt0098503.jpg
For All Mankind,"Documentary, History","['Jim Lovell', 'Russell Schweickart', 'Eugene Cernan', 'Michael Collins']",['Al Reinert'],,English,"770,132",USA,01 Nov 1989,80 min,8.2,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,tt0097372.jpg
Eddie and the Cruisers II: Eddie Lives!,"Drama, Music, Romance","52444    Michael Pare
Name: Actor, dtype: object",['Jean-Claude Lord'],"P.F. Kluge (characters), Charles Zev Cohen, Rick Doehring",English,"540,000","Canada, USA",18 Aug 1989,104 min,6.2,1 nomination.,tt0097262.jpg
Slaves of New York,Drama,"4693            Steve Buscemi
47712        Anthony LaPaglia
53072       Bernadette Peters
56083          Mercedes Ruehl
56387          Chris Sarandon
56802     Michael Schoeffling
60239           Stanley Tucci
65524          Mary Beth Hurt
83623       Mark Boone Junior
111848         Sakina Jaffrey
Name: Actor, dtype: object",['James Ivory'],"Tama Janowitz (based on the stories by), Tama Janowitz (screenplay)",English,"463,972",USA,01 Mar 1989,124 min,5.4,,tt0098347.jpg
The Rainbow,"Action, Drama, Romance","15525     Amanda Donohoe
50433        Paul McGann
87391         Jim Carter
107979    David Hemmings
111678    Glenda Jackson
Name: Actor, dtype: object",['Ken Russell'],"Ken Russell (screenplay), Vivian Russell (screenplay), D.H. Lawrence (novel)",English,"444,055","UK, USA",26 May 1989,113 min,6.4,1 nomination.,tt0098165.jpg
How to Get Ahead in Advertising,"Comedy, Fantasy","['Richard E. Grant', 'Rachel Ward', 'Richard Wilson', 'Jacqueline Tong']",['Bruce Robinson'],Bruce Robinson,English,"418,053",UK,29 Mar 1990,90 min,7.0,,tt0097531.jpg
Triumph of the Spirit,"Biography, Drama, History","14738           Willem Dafoe
51950     Edward James Olmos
71582          Robert Loggia
122517       Costas Mandylor
Name: Actor, dtype: object",['Robert M. Young'],"Shimon Arama (story), Zion Haen (story), Andrzej Krakowski (screenplay), Laurence Heath (screenplay)","English, German","408,839",USA,23 Dec 1989,120 min,6.9,,tt0098513.jpg
